timestamp_utc,session_id,hostname,rocm_version,hip_version,pytorch_version,pytorch_hip_version,python_version,gpu_name,implementation,kernel,batch,num_heads,num_kv_heads,seq_len,head_dim,causal,dtype,num_warmup,num_iters,avg_time_ms,median_time_ms,p25_time_ms,p75_time_ms,min_time_ms,max_time_ms,achieved_tflops,validated_against,max_abs_error,rel_l2_error,cos_similarity,error_count,numel,error_rate,validation_passed,notes
2026-05-27T19:52:16Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,1024,64,True,bfloat16,50,30,0.25891343454519905,0.25281500816345215,0.2512519955635071,0.25554201006889343,0.24672099947929382,0.37838199734687805,132.70743724965632,pytorch_sdpa,0.0,0.0,1.0,0,16777216,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:17Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,2048,64,True,bfloat16,50,30,0.6519972681999207,0.6436440050601959,0.640736997127533,0.6485549807548523,0.6319569945335388,0.7833409905433655,210.79682412082954,pytorch_sdpa,0.0,0.0,1.0,0,33554432,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:17Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,4096,64,True,bfloat16,50,30,2.4157877365748086,2.4087964296340942,2.3861050605773926,2.438025951385498,2.367863893508911,2.5567328929901123,227.5679297335385,pytorch_sdpa,0.0,0.0,1.0,0,67108864,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:17Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,8192,64,True,bfloat16,50,30,8.607289282480876,8.586588382720947,8.561113357543945,8.620438575744629,8.529759407043457,8.854620933532715,255.48383275880514,pytorch_sdpa,0.0,0.0,1.000000238418579,0,134217728,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:18Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,16384,64,True,bfloat16,50,30,32.62121353149414,32.60240936279297,32.513633728027344,32.814453125,32.23196029663086,32.94807052612305,269.64334155489996,pytorch_sdpa,0.0,0.0,1.0000004768371582,0,268435456,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:21Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,1024,128,True,bfloat16,50,30,0.4188413997491201,0.4183509945869446,0.41490301489830017,0.4209569990634918,0.41081398725509644,0.4337869882583618,164.07040177299083,pytorch_sdpa,0.0,0.0,1.0,0,33554432,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:21Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,2048,128,True,bfloat16,50,30,1.2814870397249858,1.2805915474891663,1.2630709409713745,1.2922179698944092,1.248960018157959,1.3421709537506104,214.4991704348335,pytorch_sdpa,0.0,0.0,1.0,0,67108864,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:21Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,4096,128,True,bfloat16,50,30,4.279982725779216,4.27812647819519,4.2687859535217285,4.292640209197998,4.242846965789795,4.323669910430908,256.8962769764035,pytorch_sdpa,0.0,0.0,1.0000003576278687,0,134217728,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:22Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,8192,128,True,bfloat16,50,30,15.189421526590984,15.124705791473389,15.088942527770996,15.360281944274902,15.022793769836426,15.542013168334961,289.5466758496806,pytorch_sdpa,0.0,0.0,1.0000004768371582,0,268435456,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-27T19:52:23Z,jupyter-launcher,jupyter-launcher,7.2.2,7.2.53211-35e8c7bf89,2.10.0+git8514f05,7.2.53211,3.12.13,,pytorch_sdpa,fa_forward,16,16,16,16384,128,True,bfloat16,50,30,57.389207204182945,57.28360176086426,57.19914627075195,57.498470306396484,57.108543395996094,58.09443283081055,306.54171579379744,pytorch_sdpa,0.0,0.0,1.0000005960464478,0,536870912,0.0,True,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
