timestamp_utc,session_id,hostname,rocm_version,hip_version,pytorch_version,gpu_name,implementation,kernel,batch,num_heads,num_kv_heads,seq_len,head_dim,causal,dtype,profile_iters,kernel_name,num_dispatches,mfma_util,occupancy_percent,mfma_flops_bf16,lds_util,notes
2026-05-28T11:19:39Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,1024,64,True,bfloat16,3,_ZN7ck_tile6kentryINS_6gfx9_tELi3ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi64ELi32,8,19.38807075,21.661038375,38654705664.0,16.3586845,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:19:46Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,2048,64,True,bfloat16,3,_ZN7ck_tile6kentryINS_6gfx9_tELi3ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi64ELi32,8,27.830694625,27.578766875,146028888064.0,23.482148625,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:19:53Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,4096,64,True,bfloat16,3,_ZN7ck_tile6kentryINS_6gfx9_tELi3ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi64ELi32,8,35.52622325,31.52011125,566935683072.0,29.975250875,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:00Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,8192,64,True,bfloat16,3,_ZN7ck_tile6kentryINS_6gfx9_tELi3ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi64ELi32,8,39.55581775,33.660371375,2233382993920.0,33.375221375,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:06Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,16384,64,True,bfloat16,3,_ZN7ck_tile6kentryINS_6gfx9_tELi3ENS_13FmhaFwdKernelINS_28BlockFmhaPipelineQRKSVSAsyncINS_24BlockFmhaPipelineProblemIDF16bDF16bDF16bffDF16bhfDF16bfDF16bNS_13TileFmhaShapeINS_8sequenceIJLi128ELi64ELi32,8,42.292387875,34.798698,8864812498944.0,35.68420225,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:12Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,1024,128,True,bfloat16,3,aiter::fmha_fwd_hd128_bf16_causal_rtna,8,42.157375125,18.226846000000002,85899345920.0,24.932135125,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:19Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,2048,128,True,bfloat16,3,aiter::fmha_fwd_hd128_bf16_causal_rtna,8,50.130263125,18.8628705,309237645312.0,28.655189375,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:25Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,4096,128,True,bfloat16,3,aiter::fmha_fwd_hd128_bf16_causal_rtna,8,64.53643725,22.275631,1168231104512.0,36.1386255,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:32Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,8192,128,True,bfloat16,3,aiter::fmha_fwd_hd128_bf16_causal_rtna,8,67.65262,22.189772,4535485464576.0,37.4539895,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:20:38Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,aiter,fa_forward,16,16,16,16384,128,True,bfloat16,3,aiter::fmha_fwd_hd128_bf16_causal_rtna,8,72.086746375,23.077991625,17867063951360.0,39.669371375,Sweep v1: AITER across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:22:30Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,1024,64,True,bfloat16,3,attn_fwd,14298,12.997995436144915,10.065495019443278,38654705664.0,10.169360095048258,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:22:41Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,2048,64,True,bfloat16,3,attn_fwd,5638,16.231351561191914,11.11412932759844,146028888064.0,12.459840509577864,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:22:53Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,4096,64,True,bfloat16,3,attn_fwd,1838,21.510548474428727,14.120942714363439,566935683072.0,16.28949427366703,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:23:06Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,8192,64,True,bfloat16,3,attn_fwd,578,27.461438089965398,18.004466444636677,2233382993920.0,20.722452889273356,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:23:18Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,16384,64,True,bfloat16,3,attn_fwd,178,31.84659682022472,20.814175724719103,8864812498944.0,24.10142276966292,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:23:32Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,1024,128,True,bfloat16,3,attn_fwd,8018,14.19684687677725,9.945912581317035,77309411328.0,10.915158014218008,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:23:45Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,2048,128,True,bfloat16,3,attn_fwd,2898,18.066685981366458,10.720169649758454,292057776128.0,13.508055769151138,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:23:57Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,4096,128,True,bfloat16,3,attn_fwd,878,22.5920277904328,12.301648660592257,1133871366144.0,16.643858798405468,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:24:10Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,8192,128,True,bfloat16,3,attn_fwd,278,30.49400751798561,15.922639025179857,4466765987840.0,22.237173151079137,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:24:25Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,triton,fa_forward,16,16,16,16384,128,True,bfloat16,3,attn_fwd,98,33.955218959183675,18.66269425510204,17729624997888.0,24.455208846938774,Sweep v1: Triton via HK's triton_baseline_v02.py across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:27:00Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,pytorch_sdpa,fa_forward,16,16,16,1024,64,True,bfloat16,3,attn_fwd,8,12.66804675,9.88996375,38654705664.0,11.003398375,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:27:02Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,pytorch_sdpa,fa_forward,16,16,16,2048,64,True,bfloat16,3,attn_fwd,8,22.7812485,20.18136225,146028888064.0,18.60854825,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:27:05Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,pytorch_sdpa,fa_forward,16,16,16,4096,64,True,bfloat16,3,attn_fwd,8,22.306237125,11.61711275,566935683072.0,16.69716275,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
2026-05-28T11:27:08Z,jupyter-launcher,jupyter-launcher,7.2.1,7.2.53211-e1a6bc5663,2.10.0+git8514f05,,pytorch_sdpa,fa_forward,16,16,16,8192,64,True,bfloat16,3,attn_fwd,8,25.136102875,11.94331825,2233382993920.0,18.254026500000002,Sweep v1: PyTorch SDPA across 5 seq_lens x 2 head_dims at BF16
